title,rating,body,len,clean_review
Battery & Multimedia Monstar,4,"I baught this phone but after 2-3days use i fill like its Display having some flickering issue then I Raised a Complaint. Then a Technician visited my phone and told me everything is fine. Them after 4-5 days later I again Feel Like Choppy And lagging problm and The Flickering issue. Then I called customer service they told me its out of replacement Policy. But when I insisted them they agreed to replace It. Now I am satisfied With the phone.Phone is smooth ( Just go in developer options and Set the animation scale to 0.5x Them Everything will be smooth)Battery is Monstar (6000MAH)Display have TFT panel But Samsung is Alasy winner in display department.Te display shows Deep Black not as Samoled panel but Better then (MI,Realme,oppo,vivo)Phone is Heavy but manageable.Cameras Are Decent enough For te Price range.I bought it for 8550/-I am happy 😊 with the device now.Now lets see What happen.I am writing the review After 15 days.Please check tw device Before buying.Thank You.",987,baught phone use fill like display have flickering issue raise complaint technician visit phone tell fine day later feel like choppy lag problm flickering issue call customer service tell replacement policy insist agree replace satisfied smooth developer option set animation scale monstar tft panel samsung alasy winner display display show deep black samoled panel well mi realme oppo heavy decent te price buy happy device let write review check tw device
Budget Phone from Samsung with all basic functions,4,"Got this phone @7749 after Exchange & bank discount at this rate no branded mobile may not come with Android 11..., so far is good still needs to check in all respects but all basic functions are working fine.",209,get phone exchange bank discount rate branded mobile come android far good need check respect basic function work fine
Good Budget phone if not best,4,"ProsExcellent Display for the price even if it is LCD (Samsung Expertise)Face ID with Fingerprint sensorOne UI is nice, smooth and feels modernUSB-C chargerLong Battery LifeConsPhone weights too high (more than 200 g)Samsung bloatwares are present and makes continued attemps to trick you for installation.Camera is fairly average, should have been little improved.No fast charging supportOverall good budget buy if you are looking for non Chinese budget smartphone.",466,prosexcellent display price lcd samsung d fingerprint sensorone ui nice smooth feel modernusb c chargerlong battery lifeconsphone weight high bloatware present make continue attemp trick fairly average little fast charge supportoverall good budget buy look non chinese budget smartphone
Couldn't meet my expectations,3,"I expected a lot about samsung mobiles in this price segment, but after buying it I totally regret myself.. But as a reviewer, I would like to post the pros and cons that I observed in this mobile..Pros:-1. Long Battery Life.2. Advanced features which are only available in Samsung ecosystem (like ""do not disturb while in driving"" etc.,)3. Can fastly unlock the phone using Fingerprint scanner.Cons:-1. Total Weight of Mobile.2. Camera quality is not seems like a 48MP Cam.3. Display quality is also not good.4. Face unlock is just an useless feature in this mobile.5. Last but not least, the worst thing is the processor. A walking turtle would be better than the performance speed of this processor..If anybody like to buy a mobile in this price range, just go with either Redmi or Realme.. Those brands will really satisfy you a lot (I were a Redmi user and I fully satisfied with the features, that's why I recommended this brand). 👍",938,expect lot samsung mobile price segment buy totally regret reviewer like post pro con observe mobile long battery advanced feature available samsung ecosystem like disturb drive etc fastly unlock phone fingerprint total weight camera quality like display quality face unlock useless feature bad thing processor walk turtle well performance speed processor anybody like buy mobile price range redmi realme brand satisfy lot redmi user fully satisfied feature recommend brand
Good Phone but performance is not smooth,3,I liked the phone battery last long even I tool 6GB ram version but the phone is little sluggish in performance may be the chipset is not great in performing daily task. But one UI is great even 120 he refresh rate I found phone performance not upto my expectations while comparing to my old redmi phone but I liked that unnecessary apps are not getting installed like redmi. Camera is great and battery life is awesome.,420,like phone battery long tool gb ram version phone little sluggish performance chipset great perform daily task ui great refresh rate find phone performance upto expectation compare old redmi phone like unnecessary app getting instal like redmi camera great battery life awesome
Worth Price,4,"(Review it after using for a month)It's battery backup is quite impressive, camera is good but could be more simpler interface, I am not a gaming person but as per my Experience it's working smooth, but yes sometimes for a sec you will it might be slow but overall it's a worth Price product as of now.",302,review battery backup impressive camera good simple interface gaming person experience work smooth yes sec slow overall worth price product
Mobile hang frequently,2,It was very happy when I received it that I haven't spent money on China mobile but within 10 day I started regretting as it has started to hang very frequently and that's annoying. I haven't added extra memory card and using phone with only one SIM. Return policy was 7 days and it started hanging from 9th day :(,314,happy receive spend money china mobile day start regret start hang frequently annoying add extra memory card phone sim return policy day start hang day
DOES NOT SUPPORT 5GHz WiFi BANDS,4,"Such an awesome phone ruined by a biggest lack of a most important and basic feature, GREAT battery life, camera, UI, lives up to its reputation;Great specs all round, only thing to be vary of is that it DOES NOT SUPPORT 5GHz band wifi “5G wifi”When you buy a phone with such great specs, it’s a real shame that the only thing slowing it down is a lack of fast internet speeds due to hardware limitation. Not having support for 5GHz in 2021 is 🤮🤮",446,awesome phone ruin big lack important basic feature great battery life camera ui live spec round thing vary support band wifi g buy phone great spec real shame thing slow lack fast internet speed hardware limitation have support
Don't expect much. Just a basic low end smartphone and does justice for this price,2,"For this price - Nothing great to be expected.It's a low end phone. So everything about this phone is below average - except battery.Bad ambient light sensor, decent camera, decent amount output, cheap charging cables - bad quality.Excellent battery!Expensive phones - outstanding performanceCheap phones - you get what you pay for",331,price great low end phone phone average ambient light sensor decent camera decent output cheap charge cable bad phone outstanding performancecheap phone pay
Monster 3 day battery,5,"Bought it for my mother, its a good phone with monster battery backupPros:Battery 6000 mahAndroid 1190 hertz display8 nm processorRear camera 48mp sony imx sensorDisplayCall quality4 years ota update supportNo lag issueCons:Speaker is not great it gest louder but too shrillProtection cover not included in the box8MP average front cameraPs its a good phone best phone to gift your loved ones",392,buy mother good phone monster battery backuppro battery mahandroid hertz nm processorrear camera sony imx sensordisplaycall year ota update supportno lag issuecon speaker great gest loud shrillprotection cover include average camerap good phone good phone gift love one
Overall beast phone according to battery backup,4,"Positive point :-1) battery life is massive 🤟2) fingerprint reader is so fast3) best in this price segment4) non scratch poly Carbonated back5)latest Android6) real 48 pixel camera7) Samsung Knox security which is best ever safety from malware virus.Negative point1)if you like camera phone, don't go for it bcoz it doesn't click selfies like oppo,vivo,etc. 😂. It gives real pixel picture.2)a bit heavy phone.Overall this phone is awesome in this segment apart from selfies and heavy weight.Go for it if you need Massive battery back up , a real 48 MP camera.",559,positive point battery life massive fingerprint reader good price non scratch poly carbonate real pixel samsung knox security good safety malware like camera phone bcoz click selfie like oppo vivo etc give real pixel bit heavy phone awesome segment apart selfie heavy need massive battery real mp camera
Phone is good for mid level range,4,Overall phone is ok. I have 6GB and 128 GB variant.Some advantages are there.1. In this Price getting good phone.2. Till now no heat or not hang.3. Till now Battery backup is good.4.  Video quality is also good.5. Good processor.Some drawback is there.1. Data cable is so small.2.  When charging no notification light is showing. When charge is full you have to check manually.3. Camera is not to the up yo mark like true 48MP.4. No notification light is there for missed call or anything.5. No Return policy is there.,518,overall phone ok gb gb advantage price get good till heat till battery backup video quality good drawback datum cable charge notification light show charge check camera yo mark like true notification light miss return policy
Think twice  before buying,3,"I am using this phone from past 3 months and I never played any heavy games in this phone. I use it to attend calls and social media, watching videos,  listening music and for clicking pictures.I'm using Vodafone and jio Sim & I'm facing issue with Vodafone signal, whenever I'll get call it use to disconnect in-between.Camera performance is not bad, but I'm not happy with battery performance.  It has a 6000mAh battery but I have to charge my phone everyday it consume lot of battery.And phone is little heavy you have to buy additional cover and screen protector.Only charger and type c cable is available along",615,phone past month play heavy game phone use attend call social medium watch video listen music click vodafone jio sim face issue vodafone signal use disconnect performance bad happy battery performance battery charge phone everyday consume lot phone little heavy buy additional cover screen charger type c cable available
Damage product reshived,1,Damage product reshived hua hai or koi help nahi ki ja rahi haiअमेजॉन से प्रोडक्ट मंगाया था यह अभी तक 20 का कोई सर्विस नहीं हुआ है कोई नहीं पिकअप भी नहीं आर्डर पेंडिंग में और जो अमाउंट थी वह भी कट गया है 20 दिन हो चुके हैं पूरे,227,damage product reshive hua hai koi help nahi ki ja rahi यह तक और वह कट
Value for money,5,"I am writing this review after using the device for 10 days.It is very good mobile in this price range. The battery life is awesome, lasts for 3 days once full charged with normal usage. The speed is also good, works well for daily usage. The camera is not the best does not feel like 48 MP. The 6.5"" display is very impressive. Gives amazing video and audio quality.Overall I liked this one and highly recommend to buy it.",423,write review device good mobile price range battery life awesome last day charge normal usage speed good work daily usage camera good feel like mp display impressive give amazing video audio like highly recommend buy
Don't buy go for Samsung M21,1,"I have been using Samsung M21, also my 2 family members using same model.So thought to buy this M12 for my father.1. Biggest disappointment DisplayLooks like a old age mobile2. Camera is ok ok3. Only good thing is battery 🔋.4. Cheap plastic body5. Heavyweight6. Go for Samsung M21 it's more better.",298,samsung family member thought buy big disappointment displaylook like old age camera ok good thing battery cheap plastic samsung well
Don't like it.,1,Camera quality is very poor and display quality too. This model is not listed in the exchange models list also. How funny that Amazon sold a mobile and they aren't considering the same model for exchange what kind of business ethics is this where as the same model is listed on Flipakrt for exchange models.,307,camera quality poor display quality model list exchange model list funny amazon sell mobile consider model exchange kind business ethic model list flipakrt exchange model
Not As Good As Advertised,2,"- My contact book is not too large, around 700 contacts, yet it takes a couple of seconds to load it. It didn't happen in my previous mobiles even though they were less powerful than this device.- Although it has 4 cameras at the back, the portrait mode is completely nonsense. My previous phone had only 2 cameras on back yet it's portrait mode was a thousand times better.- Fingerprint sensor is on the power button and a real pain to use when you have a mobile cover.",470,contact book large contact take couple second load happen previous mobile powerful camera portrait mode completely nonsense previous phone camera portrait mode thousand time fingerprint sensor power button real pain use mobile cover
Waste money..!!,1,"I am writing this review after the usage of 25 days. It is one of the worst phones Samsung has made with multiple issues.  charging speed is very much disappointed , taking lot of time to charge up. The main issue I am facing is that the phone battery  is slow charging and quick battery draining.. Phone heats up while charging as well as in normal usage conditions. While charging the phone heats up to an extent that one may feel that it could blast. 😡😡",456,write review usage day bad phone samsung multiple issue charge speed disappointed take lot time charge main issue face phone battery slow charging quick battery draining phone heat charge normal usage condition charge phone heat extent feel blast
Basic knox secured Samsung phone,4,"Decent phone at 9,000 (after bank offers). The processor and display are not upto the standard. But given that this phone has knox security, I have little to complain about. This phone is strictly for old people who just needs a secure phone for day to day usage like messaging, calling, etc. Not recommended for any user who wants to do a lot of multitasking or gaming.",370,decent phone bank offer processor display upto standard give phone knox security little complain phone strictly old people need secure phone day day usage like message calling etc recommend user want lot multitasking gaming
Value for Money✌,5,I buy this phone on Diwali offer for Rs9500 on 30 Oct 2021.For this price the phone is worthy enough..Now it been nearly 20days of usage..Pros..1.Best Battery life even in heavy usage it hold for a day its amazing...2.Rear Camera Shows the real face and color tone without additional filters in that way I love it..3.Display more than enough..90Hz Awesome4.Fastest FingerPrint Reader in this segmentCons...1.Front Camera not too bad as well as not good too..average for selfie lovers..but for me I like this one...Note it Mainly👇👇2.Processor or something make the phone lag...lag in popup the keyboard itself is not good....if it is a bug need fix immediately..3.Asking Updates for all the apps... may be it because of the phone launch day it was March 2021..I'm a Samsung fan So for me it is a better option for this rate..if you love Samsung buy it without the second thought...Apart all of the above the best phone for daily moderate users...OK for heavy usage(For Hours)...,977,buy phone diwali offer oct price phone worthy nearly usage pro battery life heavy usage hold day amazing camera show real face color tone additional filter way love fingerprint reader segmentcon camera bad good average selfie lover like note mainly phone lag lag popup keyboard good bug need fix immediately update app phone launch day march samsung fan well option rate love samsung buy second thought apart good phone daily moderate user ok heavy hour
Not so great. Regret my purchase,2,I bought this for my mother. I ll just list what I don't like.1. Too heavy. Don't buy this for old people2. Camera is shaky and output is not great. I don't know why they have given four cameras.3. Too much of useless Samsung apps and galaxy items interrupting in between. I cannot able to disable these.,304,buy mother ll list heavy buy old camera shaky output great know give useless samsung app galaxy item interrupt able disable
Not as expected,2,"Samsung is cheating people with marketing big numbers for a product. All the specifications are just on paper.In reality, every specification is just sub-par.Camera quality is same as what you see in phones that released in 2012-2013, like Galaxy Grand 2.Battery is advertised as 6000mAh, but in actual, it gives the same result as a 3000mAh battery.Processor is just utter crap.Seeing a phone for the first where the initial setup itself lags like anything.Display quality feels same as resistive touch era phones.Screen shows bleeding symptoms.I wish they had a return policy instead of replacement.",601,samsung cheat people market big number product specification reality specification quality phone release like galaxy grand advertise actual give result utter phone initial setup lag like quality feel resistive touch era show bleed wish return policy instead replacement
Kam daam main bada dhamaka,5,"This hand phone is perfect for those who want it for day to day use with decent gaming experience also security wise it is good one, actually before purchasing this phone i had watched so many videos in YouTube and amzon, After using it for some days I think it is very good for an average person but if you want to compare this phone with some other devices i think that you should avoid to buy this mobile phone also, if you have been using some high end devices for some times then also you should think before purchasing this phone. In my personal opinion i think this is very good phone with excellent camera and battery life, also performance wise it is good for day to day use. Itne kam daam mai Samsung ka bharosa aur NonChinese device wo bhi made in India. So go for it I'm sure this phone will not disappoint you.",823,hand phone perfect want day day use decent gaming experience security wise good actually purchase phone watch video youtube amzon day think good average person want compare phone device think avoid buy mobile phone high end device time think purchase phone personal opinion think good phone excellent camera battery life performance wise good day day use itne kam daam mai samsung ka bharosa aur nonchinese device will bhi india sure phone disappoint
Do not Buy,3,"Device is Heavy.Camera Quality is very poor.Screen Quality is very poor compare to othwr device in market.Fast charging is OkBattery backup is also Ok.I would recommend try other device in the same segment Like Redmi, Mi, Poco.",227,device quality quality poor compare othwr device charging okbattery backup recommend try device segment like redmi mi poco
Average,2,"I had a lot of doubts before purchase on seeing the negative reviews lying here and there but my experience with the Samsung m12 was really exciting. It has good battery backup, the display, even though 720p is not bad to look at, screen brightness is optimum. RAM management is good for day to day apps. Haven't found any lags.  Haven't tried playing any games on it. The battery last for 2 days on normal usage and 1 day on heavy usage and takes about 3hrs to fully charge.  Over all it is a great phone. The true monster. Update: After using it for nearly 6 months I'm facing proximity sensor issue, which I found is common in midrange samsung devices because of which I'm planning to change the phone and never am I going for another Samsung device. There are minor stutters here and there even while using light apps like YouTube. The battery life is still awesome.",870,lot doubt purchase see negative review lie experience samsung exciting good battery backup display bad look screen brightness optimum ram management good day day app find lag try play game battery day normal usage day heavy usage take fully charge great phone true monster update nearly month face proximity sensor issue find common midrange samsung device plan change phone go samsung device minor stutter light app like youtube battery life awesome
"Not Good, Not Bad",3,"Hey so this is an honest review from my side. I thought Samsung phone would be great for my dad but it isn't so great. The battery life isn't good. Once the battery goes below 50% it drains really fast. Talking about camera quality, it isn't as good as expected. The pictures look grainy.. finger print reader doesn't accepts your finger sometimes, and if you put a cover on your phone then its even harder to use the finger print reader. This phone has good features but ya if I talk about the price it was good for 11k but not perfect!",537,hey honest review think samsung phone great dad great battery life good battery go drain fast talk camera quality good expect picture look grainy finger print reader accept finger cover phone hard use finger print reader phone good feature ya talk price good perfect
"Affordable, Battery lasting, and a Camera Gem!",4,"Pros:Great Battery Life. Upto 2 days minimum.Great Camera.Superior smoothness in usability4GB RAM for multitasking.Built and feel of the phone.I use the phone primarily for clicking product photos for my website, and business calls. On a personal level, a powerful battery and camera saves me time and gives me a hassle free experience.  I use all sorts of video and image editing apps that requires a lot of ram usage and the phone has never crashed so far. Also does well for gaming. Hard core gaming may be sluggish. But for the price perspective, this phone is all you ever need.Cons:Face Detection  for unlocking — takes atleast 3 seconds to react. The fingerprint sensor is comparatively faster. But both is a little annoying at times.",741,pro great battery life upto day smoothness gb ram feel use phone primarily click product photo website business call personal level powerful battery camera save time give hassle free experience use sort video image editing app require lot ram usage phone crash far gaming hard core gaming sluggish price perspective phone face detection unlocking take atleast second react fingerprint sensor comparatively fast little annoying time
"Dam waste product, i lost 13,499 Rs by choosing this phone",1,"Please do not buy this phone because Samsung Galaxy M12 phone generating too much heat with this I can not operate the phone in normal condition. I kept the order in return and the authorized technician came and he decided, the is phone working normal but the compliant was too much heat generates when it's in the handset, in this case, how I could not take calls and operate the mobile. there is no return policy and only replacement but that also not happened. I was very much disappointed with amazon's service and I lost 13499/- and my requirement not fulfilled.",567,buy phone samsung galaxy phone generating heat operate phone normal condition keep order return authorize technician come decide phone work normal compliant heat generate handset case call operate mobile return policy replacement happen disappointed amazon service lose requirement fulfil
Worst phone don't throw your money,1,"Very heavy phone. Peculiar problem of Samsung phone always in hung state .if you want to use in outdoor in day time you can't see anything bon screen.  For screen shot you need to put an extra floating menu on screen which is very irritating. No compass app you can run on phone as it lacks the sensors. Friends don't buy it, Chinese phones are far far better than this. I also purchased it just to avoid Chinese phone and now I repaint it. Since sep 21 I am using it and this is worst phone I have ever had.",508,heavy phone peculiar problem samsung phone hung state want use outdoor day time bon screen screen shot need extra float menu screen irritate compass app run phone lack sensor friend buy chinese phone far far well purchase avoid chinese phone repaint sep bad phone
Camera,5,"New year and Christmas day special status quotes wishes<a href=""https://www.best-status.com/2017/10/best-10-happy-new-year-2018-gif-image.html""> Happy New year Gif image </a><a href=""https://www.best-status.com/2017/12/happy-christmas-merry-christmas-status-wishes-for-whatsapp.html"">Happy Christmas status wishes for WhatsApp</a><a href=""https://www.best-status.com/2017/10/happy-christmas-day-hindi-status.html"">Happy Christmas day Hindi status </a><a href=""https://www.best-status.com/2017/11/happy-christmas-status-and-merry.html"">happy Christmas status Gif image picture </a><a href=""https://www.best-status.com/2017/12/happy-new-year-and-merry-christmas.html"">Happy new year and merry Christmas status</a><a href=""https://www.best-status.com/2017/12/romantic-new-year-2018-statusmassage.html"">Romantic new year status massage </a><a href=""https://www.best-status.com/2017/12/happy-new-year-2018-gifs-animated-image.html""> happy new year Gif image picture animated </a><a href=""https://www.best-status.com/2017/12/happy-new-year-2018-romantic-love-image.html""> happy new year romantic love status</a><a href=""https://www.best-status.com/2017/10/happy-new-year-2018-shayari-in-hindi.html"">happy new year shayari in Hindi </a><a href=""https://www.best-status.com/2017/12/happy-christmas-day-2017-3d-gifs.html"">happy Christmas Day 3d gifs </a><a href=""https://www.best-status.com/2017/10/best-merry-christmas-status-quotes.html""> merry Christmas status quotes </a><a href=""https://www.best-status.com/2017/10/merry-christmas-status-happy-christmas-status-quotes-best-merry-christmas-status-saying.html"">merry Christmas status quotes saying </a><a href=""https://www.best-status.com/2017/12/top-15-happy-christmas-day-gifs.html"">top 15 happy Christmas day Gif images </a><a href=""https://www.best-status.com/2021/11/happy-new-year-2022-gif-animated-image.html"">happy new year 2022 Gif image picture </a>",1903,new year christmas day special status quote wish happy new gif happy new year gif image happy christmas merry christmas status wish christmas status wish happy christmas day hindi christmas day hindi status happy christmas status christmas status gif image picture happy new year merry new year merry christmas romantic new new year status massage happy new gifs animate happy new year gif image picture animate happy new romantic love happy new year romantic love happy new shayari new year shayari hindi happy christmas christmas day gif good merry christmas status merry christmas status quote merry christmas status happy christmas status quote good merry christmas status christmas status quote say happy christmas day happy christmas day gif image happy new gif animate new year gif image picture
Don't buy this Phone 😞,1,1-Camera Quality too poor back & Front both2- battery life is too short 8 hours3- unable to take screenshots4-phone hang while typing5- for PUBG lover Don't Buy not working in properly6- Display Quality is so ugly while playing game 🎯🎮7- mobile heating while charging & using tym both8- It's taking 3-4 hours for charging,321,camera quality poor battery life short unable phone hang pubg lover buy work display quality ugly play game mobile heating charge tym take hour charge
Value for money smartphone,5,"While Samsung boasts about the 48MP camera, the picture quality is not up to the mark. I was looking for a smartphone for my mother with a price range of 9-11 k and was confused between Resmi 9 series and Samsung M12. I finally decided to go for samsung since it has a good resale value. The battery life is just amazing, since my mom uses the phone for basic functions like calls, watching videos on youtube and social media, the battery lasts easily for 3 days on a full charge",479,samsung boast camera picture quality mark look smartphone mother price range k confuse resmi series samsung finally decide samsung good resale value battery life amazing mom use phone basic function like call watch video youtube social medium battery last easily day charge
Great Phone!,4,"Pros:*On the internet, some found the phone heavy a little bit, but for me, it looked like a sturdy mobile*Great Rear camera quality, Good front camera quality*Ultra quick fingerprint sensor*Descent battery life indeed, suggest you use the phone mildly and charge the battery only up to 85-95% for at least 1 week. I use the phone mostly for YouTube and social media and with that using its battery last for about 2.5 - 3 days or sometimes 3.5 days as wellCons:*Face Recognition is slow, but you won't need that if you use fingerprint*Not meant for high-end gaming cause sometimes frame dropsBtw purchased the phone for Rs 9499",627,internet find phone heavy little bit look like sturdy rear camera quality good camera quick fingerprint battery life suggest use phone mildly charge battery week use phone youtube social medium battery day day recognition slow will need use mean high end gaming cause frame dropsbtw purchase phone rs
Go for other option,1,Not up to the mark too many cons1)phone ram management is not good it hangs too much 90hz screen is only for show whenever u set screen at 90hz its start hamging2) VGA camera is better than this 48megapixal camera3)when i start mobile and setup it hang and restart more than 2 time so i will suggest  dongo for this phone,321,mark ram management good hang screen u set screen start vga camera well start mobile setup hang restart time suggest dongo phone
Worst processor ever in a Samsung phone !!,1,"I bought this smartphone for my mother as I knew there would be no large applications used, so the phone would not need much processing. But this phone started to freeze and lag even when applications of size 10 -15 MB were installed. I have been a loyal Samsung customer for nearly 10 years, but now it's time to move on I think.I will not suggest this phone to anyone. You can get far better phones at this same cost.",419,buy smartphone mother know large application phone need processing phone start freeze lag application size mb instal loyal samsung customer nearly year time suggest phone far well phone cost
Good phone within this budget,4,"Fingerprint reader ,battery life and camera are 👍good as compare to others within this budget. My decision was very clear before purchasing that I would buy only phone within ₹13000 so I purchased and in my opinion  if ones budget is same then go ahead don't thing and read negative  review",290,fingerprint reader battery life camera good compare budget decision clear purchase buy phone purchase opinion one budget ahead thing read negative review
Solid overall performer,5,"The fingerprint reader is placed at an ideal location and works without fail. The battery life is really good even though it takes a long time to charge so in all good. camera quality of the primary camera is good for everyday use. The design of the phone is such that it does not wobble and there are no protruding camera. The built quality feels solid. No fingerprint smudges.I have experienced some jitters but nothing to complain about. Calling over WiFi facility works very good and the earpiece quality is decent. No issues with proximity sensor. Though it lacks the bells and whistles of its competitors, it does well. There is nothing extraordinary to write about, but it is actually good as there are nothing extremely negative to write about. Buy it and it will work as its supposed to. Also trusting on Samsung brand name for data privacy.",850,fingerprint reader place ideal location work fail battery life good take long time charge good camera quality primary camera good everyday use design phone wobble protrude camera build quality feel solid fingerprint experience jitter complain call wifi facility work good earpiece quality decent issue proximity sensor lack bell whistle competitor extraordinary write actually good extremely negative write buy work suppose trust samsung brand datum privacy
Great budget smartphone from Samsung,5,Great budget smartphone from Samsung.Got a bit worried after reading all the negative reviews about the phone's display and camera but they didn't fail me or Samsung. Great battery life and display looks awesome. Camera is normal; neither extremely extraordinary nor disappointing. Overall camera is satisfactory at this price. RAM and Processor give very smooth performance. Don't get worry about the bullshit negative reviews (by people who want gold at the price of brass).  Go for it.,488,great budget smartphone bit worried read negative review phone display camera fail samsung great battery life display look awesome camera normal extremely extraordinary disappointing overall camera satisfactory price ram processor smooth performance worry bullshit negative review people want gold price brass
Audio Output Too Low,3,"I have gone through many reviews for this phone. But, I've not seen anyone talking about sound quality. Maybe their handsets are working absolutely fine.. Maybe my particular handset is troublesome. Anyways, since I got the phone on my hand, I couldn't explore as much as I should but overall my experience with Samsung is not up to the mark. I purchased Samsung's phone hoping to get some amazing performance which the company and other reviewers (mainly YouTube reviewers) claim.I am not that technically sound person to digest every single term the phone companies (manufacturers) use these days. Still, I've gathered a little bit of knowledge and experience after using various smartphones over the long 11-12 years.I got this model (Galaxy M12) exchanged with Redmi 8A Dual which was not that much worse.. The sound was pretty loud be it media sound, ringtones, call sound, etc.Frankly speaking, I've not checked gaming, camera and other features the way I did with sound quality. I'd recommend experience yourself before you buy this phone if at all possible.",1065,go review phone see talk sound quality maybe handset work absolutely fine maybe particular handset troublesome anyways get phone hand explore overall experience samsung mark purchase samsung phone hop amazing performance company reviewer mainly youtube reviewer technically sound person digest single term phone company manufacturer use day gather little bit knowledge experience smartphone long get model galaxy exchange redmi dual bad sound pretty loud medium sound ringtone sound speaking check gaming camera feature way sound quality recommend experience buy phone possible
It's a meh phone,3,"Good phone for the price. The responsiveness of the screen to touch is a little wanting. Battery not as good as expected, lasts for about a day and a half with moderate usage.  Camera is great but it's a pain to select and toggle through the settings. Really have to look hard to realise it is a high resolution image. My other purchase is an M12 which feels really premium compared to this phone. The price difference at time of purchase was only 2k.",451,good phone price responsiveness screen touch little wanting battery good expect last day half moderate usage camera great pain select toggle setting look hard realise high resolution image purchase feel premium compare phone price difference time purchase
"A very poor quality camera, memory",1,"Firstly amazon cc is very inefficient in handling my queries, series of wrong communication from chat support, phone support. My email is not yet answered since 8 days. Now, samsung m12 phone - out of 64gb only 50-52gb is available and remaining 12-13gb occupied by system. Out of 4gb ram 1.8gb approx is occupied by system. Camera quality is very very poor. Phone hangs too much like if i unlock the phone it takes more than 10-15 sec to display clock, navigation icons, notifications panel etc. Phone heats up if we use gdrive, maps, hotspot. Screen and body is very delicate. Plz think much before you go for this. An upset frustrated Amazon cusromer, Sameer!",662,firstly amazon cc inefficient handle query series wrong communication chat support phone support email answer day samsung phone gb gb available remain gb occupy system gb ram gb approx occupy system camera quality poor phone hang like unlock phone take sec display clock navigation icon notification panel etc phone heat use gdrive map hotspot screen body delicate plz think upset frustrated amazon cusromer sameer
Budgeted phone ever,3,"Its a budgeted phone. 6 GB/ 128 GB storage variant is good. Battery backup is awesome. Took 3-3.5 hrs to full charge. Not happy with front camera quality & Awful at night. NO slow motion capturing feature. Rear camera is better in daylight & good at night. Not happy with side touch sensor. Took so many attempts sometimes to unlock. But, overall I am happy using it because navigation sensor, battery backup & performance of phone is good compared with other brands.",467,budget phone gb storage variant good battery backup awesome take hrs charge happy camera quality awful night slow motion capture feature rear camera well daylight good night happy touch sensor take attempt unlock overall happy navigation sensor battery backup performance phone good compare brand
Outstanding,5,Great product for the money. Thankfully it's not Chinese and there's peace of mind when using banking apps or other apps which warrants security of non Chinese servers. The camera to screen everything is as good it can get for the money and software is way above what the Chinese offers.,287,great product money thankfully chinese peace mind banking app app warrant security non chinese server camera screen good money software way chinese offer
Little heavy,4,"After use of one month i can say,Excellent battery life, sound quality is good, Its not easy to handle due to its heavyness but it can be bcos of 6000mah battery. Fingerprint sensor is good. Camera quality is not good as expected from 48 mega pixels. Front camera is not good at all. But overall experience till now is very Good. Want to give 5star but one star less due to its camera and Handling.",398,use month excellent battery life sound quality good easy handle heavyness bco battery fingerprint sensor good camera quality good expect mega pixel camera good overall experience till good want star camera handling
"Good but not the best, expect much more from Samsung",4,"Samsung camera is supposed to be far better than Lyf Wind, regretably it is on par. You could sell this lower end of the product range for may be 7000 or max 7500. Beats many local brands yet not satisfactory. Giving a 4 starFeed back: Sold my old Wind Lyf phone for Rs 1350 to a small dealer. Rs 450 exchange value is not fair at all.",335,samsung camera suppose far well lyf wind regretably par sell low end product range max beat local brand satisfactory give starfeed sell old wind lyf phone rs small dealer rs exchange value fair
Absolutely  satisfied  with the modile,5,like you I have searched the reviews for this mobile..just keep this two things in your mind while you choose to buy this mobile.1. If you are a low range mobile user and u trying to buy high range mobile then this is the perfect mobile with exotic features and to perfect price like 10500.2. If you are a high range user mobile price of above 15000 then this will be little low campares to that m12 but m12 gives it own best Performances.You can't  compare this mobile 10500rps  to the mobiles above 15000 because  if you put plus money then it comes with  more features  that's the difference..so you must compare the features with price tags then scroll to the reviews  for performance of the mobile  like you and me! Conclusion:-  Review is only for this mobile so...this kind a features with this price is absolutely  worth it. Performance  was damn good of every features and last Final finger print sensor is a exotic feature in this mobile the it works is like DAMN GIRL!Thank you.,989,like search review mobile thing mind choose buy low range mobile user u try buy high range mobile perfect mobile exotic feature perfect price like high range user mobile price little low campare give good compare mobile mobile plus money come feature difference compare feature price tag scroll review performance mobile like review mobile kind feature price absolutely worth performance damn good feature final finger print sensor exotic feature mobile work like damn
Overall not bad phone.,4,"I have just picked it up in budget category for day to day needs, well I'm not disappointed with my choice it's a great package to offer at this price point keeping my needs in mind.However the phone is very sluggish in response, if you're looking for performance from this phone kindly stay away it will disappoint you.Hope my review helps prospective buyers.",360,pick budget category day day need disappointed choice great package offer price point keep need phone sluggish response look performance phone kindly stay away disappoint review help prospective buyer
It's Ok,4,"After using since 5 days......1. 90Hz display really smooth2. Camera quality little better if you select 48M camera setting . Not really good one for photography.3.battery backup is too good, as I am not a gamer4. Too heavy to carry ...After using with back cover it feels almost 500 GM to me5. Voice clarity is really good.6. 4G speed is awesome.7. Overaally it's a nice phone ......",384,day display camera quality little well select m camera setting good backup good heavy carry cover feel gm voice clarity g speed overaally nice phone
